date,daylightHours
17/09/1995,12.10176751
18/09/1995,12.07270437
19/09/1995,12.04362793
20/09/1995,12.01454353
21/09/1995,11.98545647
22/09/1995,11.95637207
23/09/1995,11.92729563
24/09/1995,11.89823249
25/09/1995,11.86918797
26/09/1995,11.84016744
27/09/1995,11.81117627
28/09/1995,11.78221987
29/09/1995,11.7533037
30/09/1995,11.72443324
01/10/1995,11.69561402
02/10/1995,11.66685164
03/10/1995,11.63815175
04/10/1995,11.60952004
05/10/1995,11.58096229
06/10/1995,11.55248434
07/10/1995,11.52409213
08/10/1995,11.49579164
09/10/1995,11.46758896
10/10/1995,11.43949028
11/10/1995,11.41150186
12/10/1995,11.38363005
13/10/1995,11.35588133
14/10/1995,11.32826226
15/10/1995,11.30077951
16/10/1995,11.27343985
17/10/1995,11.24625018
18/10/1995,11.2192175
19/10/1995,11.19234891
20/10/1995,11.16565166
21/10/1995,11.13913308
22/10/1995,11.11280064
23/10/1995,11.0866619
24/10/1995,11.06072458
25/10/1995,11.03499647
26/10/1995,11.00948551
27/10/1995,10.98419972
28/10/1995,10.95914726
29/10/1995,10.93433639
30/10/1995,10.90977547
31/10/1995,10.88547297
01/11/1995,10.86143745
02/11/1995,10.83767757
03/11/1995,10.81420209
04/11/1995,10.79101984
05/11/1995,10.76813972
06/11/1995,10.74557073
07/11/1995,10.72332191
08/11/1995,10.70140237
09/11/1995,10.67982127
10/11/1995,10.6585878
11/11/1995,10.6377112
12/11/1995,10.61720071
13/11/1995,10.5970656
14/11/1995,10.57731513
15/11/1995,10.55795858
16/11/1995,10.53900516
17/11/1995,10.52046409
18/11/1995,10.50234453
19/11/1995,10.48465559
20/11/1995,10.4674063
21/11/1995,10.4506056
22/11/1995,10.43426237
23/11/1995,10.41838534
24/11/1995,10.40298313
25/11/1995,10.38806423
26/11/1995,10.37363697
27/11/1995,10.35970951
28/11/1995,10.34628984
29/11/1995,10.33338573
30/11/1995,10.32100478
01/12/1995,10.30915433
02/12/1995,10.2978415
03/12/1995,10.28707314
04/12/1995,10.27685587
05/12/1995,10.267196
06/12/1995,10.25809955
07/12/1995,10.24957225
08/12/1995,10.24161951
09/12/1995,10.23424641
10/12/1995,10.22745769
11/12/1995,10.22125775
12/12/1995,10.21565063
13/12/1995,10.21063998
14/12/1995,10.20622911
15/12/1995,10.20242094
16/12/1995,10.19921798
17/12/1995,10.19662236
18/12/1995,10.19463581
19/12/1995,10.19325967
20/12/1995,10.19249485
21/12/1995,10.19234186
22/12/1995,10.1928008
23/12/1995,10.19387137
24/12/1995,10.19555286
25/12/1995,10.19784413
26/12/1995,10.20074366
27/12/1995,10.20424952
28/12/1995,10.20835938
29/12/1995,10.21307053
30/12/1995,10.21837985
31/12/1995,10.22428387
01/01/1996,10.23077872
02/01/1996,10.2378602
03/01/1996,10.24552374
04/01/1996,10.25376441
05/01/1996,10.26257698
06/01/1996,10.27195588
07/01/1996,10.28189522
08/01/1996,10.29238884
09/01/1996,10.30343028
10/01/1996,10.31501279
11/01/1996,10.3271294
12/01/1996,10.33977286
13/01/1996,10.35293571
14/01/1996,10.36661026
15/01/1996,10.38078863
16/01/1996,10.39546274
17/01/1996,10.41062435
18/01/1996,10.42626504
19/01/1996,10.44237626
20/01/1996,10.45894932
21/01/1996,10.47597543
22/01/1996,10.49344567
23/01/1996,10.51135105
24/01/1996,10.52968251
25/01/1996,10.5484309
26/01/1996,10.56758704
27/01/1996,10.58714171
28/01/1996,10.60708565
29/01/1996,10.62740961
30/01/1996,10.64810431
31/01/1996,10.66916051
01/02/1996,10.69056894
02/02/1996,10.71232041
03/02/1996,10.73440573
04/02/1996,10.75681577
05/02/1996,10.77954145
06/02/1996,10.80257375
07/02/1996,10.82590373
08/02/1996,10.84952251
09/02/1996,10.8734213
10/02/1996,10.89759138
11/02/1996,10.92202416
12/02/1996,10.94671111
13/02/1996,10.97164381
14/02/1996,10.99681396
15/02/1996,11.02221335
16/02/1996,11.04783388
17/02/1996,11.07366758
18/02/1996,11.09970658
19/02/1996,11.12594312
20/02/1996,11.15236957
21/02/1996,11.17897842
22/02/1996,11.20576224
23/02/1996,11.23271377
24/02/1996,11.25982583
25/02/1996,11.28709136
26/02/1996,11.31450342
27/02/1996,11.34205517
28/02/1996,11.3697399
29/02/1996,11.39755097
01/03/1996,11.42548189
02/03/1996,11.45352623
03/03/1996,11.48167769
04/03/1996,11.50993004
05/03/1996,11.53827714
06/03/1996,11.56671297
07/03/1996,11.59523155
08/03/1996,11.62382701
09/03/1996,11.65249353
10/03/1996,11.68122538
11/03/1996,11.71001688
12/03/1996,11.73886241
13/03/1996,11.76775641
14/03/1996,11.79669338
15/03/1996,11.82566784
16/03/1996,11.85467437
17/03/1996,11.88370757
18/03/1996,11.91276207
19/03/1996,11.94183252
20/03/1996,11.9709136
21/03/1996,12
22/03/1996,12.0290864
23/03/1996,12.05816748
24/03/1996,12.08723793
25/03/1996,12.11629243
26/03/1996,12.14532563
27/03/1996,12.17433216
28/03/1996,12.20330662
29/03/1996,12.23224359
30/03/1996,12.26113759
31/03/1996,12.28998312
01/04/1996,12.31877462
02/04/1996,12.34750647
03/04/1996,12.37617299
04/04/1996,12.40476845
05/04/1996,12.43328703
06/04/1996,12.46172286
07/04/1996,12.49006996
08/04/1996,12.51832231
09/04/1996,12.54647377
10/04/1996,12.57451811
11/04/1996,12.60244903
12/04/1996,12.6302601
13/04/1996,12.65794483
14/04/1996,12.68549658
15/04/1996,12.71290864
16/04/1996,12.74017417
17/04/1996,12.76728623
18/04/1996,12.79423776
19/04/1996,12.82102158
20/04/1996,12.84763043
21/04/1996,12.87405688
22/04/1996,12.90029342
23/04/1996,12.92633242
24/04/1996,12.95216612
25/04/1996,12.97778665
26/04/1996,13.00318604
27/04/1996,13.02835619
28/04/1996,13.05328889
29/04/1996,13.07797584
30/04/1996,13.10240862
01/05/1996,13.1265787
02/05/1996,13.15047749
03/05/1996,13.17409627
04/05/1996,13.19742625
05/05/1996,13.22045855
06/05/1996,13.24318423
07/05/1996,13.26559427
08/05/1996,13.28767959
09/05/1996,13.30943106
10/05/1996,13.33083949
11/05/1996,13.35189569
12/05/1996,13.37259039
13/05/1996,13.39291435
14/05/1996,13.41285829
15/05/1996,13.43241296
16/05/1996,13.4515691
17/05/1996,13.47031749
18/05/1996,13.48864895
19/05/1996,13.50655433
20/05/1996,13.52402457
21/05/1996,13.54105068
22/05/1996,13.55762374
23/05/1996,13.57373496
24/05/1996,13.58937565
25/05/1996,13.60453726
26/05/1996,13.61921137
27/05/1996,13.63338974
28/05/1996,13.64706429
29/05/1996,13.66022714
30/05/1996,13.6728706
31/05/1996,13.68498721
01/06/1996,13.69656972
02/06/1996,13.70761116
03/06/1996,13.71810478
04/06/1996,13.72804412
05/06/1996,13.73742302
06/06/1996,13.74623559
07/06/1996,13.75447626
08/06/1996,13.7621398
09/06/1996,13.76922128
10/06/1996,13.77571613
11/06/1996,13.78162015
12/06/1996,13.78692947
13/06/1996,13.79164062
14/06/1996,13.79575048
15/06/1996,13.79925634
16/06/1996,13.80215587
17/06/1996,13.80444714
18/06/1996,13.80612863
19/06/1996,13.8071992
20/06/1996,13.80765814
21/06/1996,13.80750515
22/06/1996,13.80674033
23/06/1996,13.80536419
24/06/1996,13.80337764
25/06/1996,13.80078202
26/06/1996,13.79757906
27/06/1996,13.79377089
28/06/1996,13.78936002
29/06/1996,13.78434937
30/06/1996,13.77874225
01/07/1996,13.77254231
02/07/1996,13.76575359
03/07/1996,13.75838049
04/07/1996,13.75042775
05/07/1996,13.74190045
06/07/1996,13.732804
07/07/1996,13.72314413
08/07/1996,13.71292686
09/07/1996,13.7021585
10/07/1996,13.69084567
11/07/1996,13.67899522
12/07/1996,13.66661427
13/07/1996,13.65371016
14/07/1996,13.64029049
15/07/1996,13.62636303
16/07/1996,13.61193577
17/07/1996,13.59701687
18/07/1996,13.58161466
19/07/1996,13.56573763
20/07/1996,13.5493944
21/07/1996,13.5325937
22/07/1996,13.51534441
23/07/1996,13.49765547
24/07/1996,13.47953591
25/07/1996,13.46099484
26/07/1996,13.44204142
27/07/1996,13.42268487
28/07/1996,13.4029344
29/07/1996,13.38279929
30/07/1996,13.3622888
31/07/1996,13.3414122
01/08/1996,13.32017873
02/08/1996,13.29859763
03/08/1996,13.27667809
04/08/1996,13.25442927
05/08/1996,13.23186028
06/08/1996,13.20898016
07/08/1996,13.18579791
08/08/1996,13.16232243
09/08/1996,13.13856255
10/08/1996,13.11452703
11/08/1996,13.09022453
12/08/1996,13.06566361
13/08/1996,13.04085274
14/08/1996,13.01580028
15/08/1996,12.99051449
16/08/1996,12.96500353
17/08/1996,12.93927542
18/08/1996,12.9133381
19/08/1996,12.88719936
20/08/1996,12.86086692
21/08/1996,12.83434834
22/08/1996,12.80765109
23/08/1996,12.7807825
24/08/1996,12.75374982
25/08/1996,12.72656015
26/08/1996,12.69922049
27/08/1996,12.67173774
28/08/1996,12.64411867
29/08/1996,12.61636995
30/08/1996,12.58849814
31/08/1996,12.56050972
01/09/1996,12.53241104
02/09/1996,12.50420836
03/09/1996,12.47590787
04/09/1996,12.44751566
05/09/1996,12.41903771
06/09/1996,12.39047996
07/09/1996,12.36184825
08/09/1996,12.33314836
09/09/1996,12.30438598
10/09/1996,12.27556676
11/09/1996,12.2466963
12/09/1996,12.21778013
13/09/1996,12.18882373
14/09/1996,12.15983256
15/09/1996,12.13081203
16/09/1996,12.10176751
17/09/1996,12.07270437
18/09/1996,12.04362793
19/09/1996,12.01454353
20/09/1996,11.98545647
21/09/1996,11.95637207
22/09/1996,11.92729563
23/09/1996,11.89823249
24/09/1996,11.86918797
25/09/1996,11.84016744
26/09/1996,11.81117627
27/09/1996,11.78221987
28/09/1996,11.7533037
29/09/1996,11.72443324
30/09/1996,11.69561402
01/10/1996,11.66685164
02/10/1996,11.63815175
03/10/1996,11.60952004
04/10/1996,11.58096229
05/10/1996,11.55248434
06/10/1996,11.52409213
07/10/1996,11.49579164
08/10/1996,11.46758896
09/10/1996,11.43949028
10/10/1996,11.41150186
11/10/1996,11.38363005
12/10/1996,11.35588133
13/10/1996,11.32826226
14/10/1996,11.30077951
15/10/1996,11.27343985
16/10/1996,11.24625018
17/10/1996,11.2192175
18/10/1996,11.19234891
19/10/1996,11.16565166
20/10/1996,11.13913308
21/10/1996,11.11280064
22/10/1996,11.0866619
23/10/1996,11.06072458
24/10/1996,11.03499647
25/10/1996,11.00948551
26/10/1996,10.98419972
27/10/1996,10.95914726
28/10/1996,10.93433639
29/10/1996,10.90977547
30/10/1996,10.88547297
31/10/1996,10.86143745
01/11/1996,10.83767757
02/11/1996,10.81420209
03/11/1996,10.79101984
04/11/1996,10.76813972
05/11/1996,10.74557073
06/11/1996,10.72332191
07/11/1996,10.70140237
08/11/1996,10.67982127
09/11/1996,10.6585878
10/11/1996,10.6377112
11/11/1996,10.61720071
12/11/1996,10.5970656
13/11/1996,10.57731513
14/11/1996,10.55795858
15/11/1996,10.53900516
16/11/1996,10.52046409
17/11/1996,10.50234453
18/11/1996,10.48465559
19/11/1996,10.4674063
20/11/1996,10.4506056
21/11/1996,10.43426237
22/11/1996,10.41838534
23/11/1996,10.40298313
24/11/1996,10.38806423
25/11/1996,10.37363697
26/11/1996,10.35970951
27/11/1996,10.34628984
28/11/1996,10.33338573
29/11/1996,10.32100478
30/11/1996,10.30915433
01/12/1996,10.2978415
02/12/1996,10.28707314
03/12/1996,10.27685587
04/12/1996,10.267196
05/12/1996,10.25809955
06/12/1996,10.24957225
07/12/1996,10.24161951
08/12/1996,10.23424641
09/12/1996,10.22745769
10/12/1996,10.22125775
11/12/1996,10.21565063
12/12/1996,10.21063998
13/12/1996,10.20622911
14/12/1996,10.20242094
15/12/1996,10.19921798
16/12/1996,10.19662236
17/12/1996,10.19463581
18/12/1996,10.19325967
19/12/1996,10.19249485
20/12/1996,10.19234186
21/12/1996,10.1928008
22/12/1996,10.19387137
23/12/1996,10.19555286
24/12/1996,10.19784413
25/12/1996,10.20074366
26/12/1996,10.20424952
27/12/1996,10.20835938
28/12/1996,10.21307053
29/12/1996,10.21837985
30/12/1996,10.22428387
31/12/1996,10.23077872
01/01/1997,10.23077872
02/01/1997,10.2378602
03/01/1997,10.24552374
04/01/1997,10.25376441
05/01/1997,10.26257698
06/01/1997,10.27195588
07/01/1997,10.28189522
08/01/1997,10.29238884
09/01/1997,10.30343028
10/01/1997,10.31501279
11/01/1997,10.3271294
12/01/1997,10.33977286
13/01/1997,10.35293571
14/01/1997,10.36661026
15/01/1997,10.38078863
16/01/1997,10.39546274
17/01/1997,10.41062435
18/01/1997,10.42626504
19/01/1997,10.44237626
20/01/1997,10.45894932
21/01/1997,10.47597543
22/01/1997,10.49344567
23/01/1997,10.51135105
24/01/1997,10.52968251
25/01/1997,10.5484309
26/01/1997,10.56758704
27/01/1997,10.58714171
28/01/1997,10.60708565
29/01/1997,10.62740961
30/01/1997,10.64810431
31/01/1997,10.66916051
01/02/1997,10.69056894
02/02/1997,10.71232041
03/02/1997,10.73440573
04/02/1997,10.75681577
05/02/1997,10.77954145
06/02/1997,10.80257375
07/02/1997,10.82590373
08/02/1997,10.84952251
09/02/1997,10.8734213
10/02/1997,10.89759138
11/02/1997,10.92202416
12/02/1997,10.94671111
13/02/1997,10.97164381
14/02/1997,10.99681396
15/02/1997,11.02221335
16/02/1997,11.04783388
17/02/1997,11.07366758
18/02/1997,11.09970658
19/02/1997,11.12594312
20/02/1997,11.15236957
21/02/1997,11.17897842
22/02/1997,11.20576224
23/02/1997,11.23271377
24/02/1997,11.25982583
25/02/1997,11.28709136
26/02/1997,11.31450342
27/02/1997,11.34205517
28/02/1997,11.3697399
01/03/1997,11.39755097
02/03/1997,11.42548189
03/03/1997,11.45352623
04/03/1997,11.48167769
05/03/1997,11.50993004
06/03/1997,11.53827714
07/03/1997,11.56671297
08/03/1997,11.59523155
09/03/1997,11.62382701
10/03/1997,11.65249353
11/03/1997,11.68122538
12/03/1997,11.71001688
13/03/1997,11.73886241
14/03/1997,11.76775641
15/03/1997,11.79669338
16/03/1997,11.82566784
17/03/1997,11.85467437
18/03/1997,11.88370757
19/03/1997,11.91276207
20/03/1997,11.94183252
21/03/1997,11.9709136
22/03/1997,12
23/03/1997,12.0290864
24/03/1997,12.05816748
25/03/1997,12.08723793
26/03/1997,12.11629243
27/03/1997,12.14532563
28/03/1997,12.17433216
29/03/1997,12.20330662
30/03/1997,12.23224359
31/03/1997,12.26113759
01/04/1997,12.28998312
02/04/1997,12.31877462
03/04/1997,12.34750647
04/04/1997,12.37617299
05/04/1997,12.40476845
06/04/1997,12.43328703
07/04/1997,12.46172286
08/04/1997,12.49006996
09/04/1997,12.51832231
10/04/1997,12.54647377
11/04/1997,12.57451811
12/04/1997,12.60244903
13/04/1997,12.6302601
14/04/1997,12.65794483
15/04/1997,12.68549658
16/04/1997,12.71290864
17/04/1997,12.74017417
18/04/1997,12.76728623
19/04/1997,12.79423776
20/04/1997,12.82102158
21/04/1997,12.84763043
22/04/1997,12.87405688
23/04/1997,12.90029342
24/04/1997,12.92633242
25/04/1997,12.95216612
26/04/1997,12.97778665
27/04/1997,13.00318604
28/04/1997,13.02835619
29/04/1997,13.05328889
30/04/1997,13.07797584
01/05/1997,13.10240862
02/05/1997,13.1265787
03/05/1997,13.15047749
04/05/1997,13.17409627
05/05/1997,13.19742625
06/05/1997,13.22045855
07/05/1997,13.24318423
08/05/1997,13.26559427
09/05/1997,13.28767959
10/05/1997,13.30943106
11/05/1997,13.33083949
12/05/1997,13.35189569
13/05/1997,13.37259039
14/05/1997,13.39291435
15/05/1997,13.41285829
16/05/1997,13.43241296
17/05/1997,13.4515691
18/05/1997,13.47031749
